[INFO ] [2022-10-02 18:26:35,671] Click to Register on the header
[INFO ] [2022-10-02 18:26:37,623] Click to Register
[INFO ] [2022-10-02 18:27:20,535] Click to Register on the header
[INFO ] [2022-10-02 18:27:22,200] Click to Register
[INFO ] [2022-10-02 21:58:22,271] Click to Register on the header
[INFO ] [2022-10-02 21:58:27,929] Click to Register button
[INFO ] [2022-10-02 21:58:28,313] Verify Required message of Firstname field
[INFO ] [2022-10-02 21:58:28,392] Verify Required message of Lastname field
[INFO ] [2022-10-02 21:58:28,437] Verify Required message of Email field
[INFO ] [2022-10-02 21:58:28,476] Verify Required message of Password field
[INFO ] [2022-10-02 21:58:28,518] Verify Required message of Confirm Password field
[INFO ] [2022-10-02 21:59:26,459] Click to Register on the header
[INFO ] [2022-10-02 21:59:28,454] Click to Register button
[INFO ] [2022-10-02 21:59:28,830] Verify Required message of Firstname field
[INFO ] [2022-10-02 21:59:28,900] Verify Required message of Lastname field
[INFO ] [2022-10-02 21:59:28,942] Verify Required message of Email field
[INFO ] [2022-10-02 22:47:14,626] Click to Register on the header
[INFO ] [2022-10-02 22:47:16,510] Click to Register button
[INFO ] [2022-10-02 22:47:16,940] Verify Required message of Firstname field
[INFO ] [2022-10-02 22:47:17,022] Verify Required message of Lastname field
[INFO ] [2022-10-02 22:47:17,067] Verify Required message of Email field
[INFO ] [2022-10-02 22:47:17,109] Verify Required message of Password field
[INFO ] [2022-10-02 22:47:17,148] Verify Required message of Confirm Password field
[INFO ] [2022-10-02 22:47:17,201] Click to Register on the header
[INFO ] [2022-10-02 22:47:17,878] Select gender in checkbox
[INFO ] [2022-10-02 22:47:17,980] Input valid value into Firstname textboxKenyatta
[INFO ] [2022-10-02 22:49:51,988] Click to Register on the header
[INFO ] [2022-10-02 22:49:53,793] Click to Register button
[INFO ] [2022-10-02 22:49:54,170] Verify Required message of Firstname field
[INFO ] [2022-10-02 22:49:54,242] Verify Required message of Lastname field
[INFO ] [2022-10-02 22:49:54,288] Verify Required message of Email field
[INFO ] [2022-10-02 22:49:54,328] Verify Required message of Password field
[INFO ] [2022-10-02 22:49:54,367] Verify Required message of Confirm Password field
[INFO ] [2022-10-02 22:49:54,419] Click to Register on the header
[INFO ] [2022-10-02 22:49:55,074] Select gender in checkbox
[INFO ] [2022-10-02 22:49:55,177] Input valid value into Firstname textbox with: Lesley
[INFO ] [2022-10-02 22:49:55,367] Input valid value into Lastname textbox with: Runolfsdottir
[INFO ] [2022-10-02 22:49:55,845] Select Date of birthday
[INFO ] [2022-10-02 22:49:55,986] Select Month of birthday
[INFO ] [2022-10-02 22:49:56,078] ISelect Year of birthday
[INFO ] [2022-10-02 22:49:56,157] Input invalid email to email textbox
[INFO ] [2022-10-02 22:49:56,307] Verify error message about invalid email
[INFO ] [2022-10-02 22:52:47,115] Click to Register on the header
[INFO ] [2022-10-02 22:52:48,980] Click to Register button
[INFO ] [2022-10-02 22:52:49,377] Verify Required message of Firstname field
[INFO ] [2022-10-02 22:52:49,454] Verify Required message of Lastname field
[INFO ] [2022-10-02 22:52:49,501] Verify Required message of Email field
[INFO ] [2022-10-02 22:52:49,539] Verify Required message of Password field
[INFO ] [2022-10-02 22:52:49,579] Verify Required message of Confirm Password field
[INFO ] [2022-10-02 22:52:49,631] Click to Register on the header
[INFO ] [2022-10-02 22:52:50,283] Select gender in checkbox
[INFO ] [2022-10-02 22:52:50,398] Input valid value into Firstname textbox with: Lisa
[INFO ] [2022-10-02 22:52:50,632] Input valid value into Lastname textbox with: Mosciski
[INFO ] [2022-10-02 22:52:51,150] Select Date of birthday
[INFO ] [2022-10-02 22:52:51,517] Select Month of birthday
[INFO ] [2022-10-02 22:52:51,680] ISelect Year of birthday
[INFO ] [2022-10-02 22:52:51,900] Input invalid email to email textbox
[INFO ] [2022-10-02 22:52:52,116] Verify error message about invalid email
[INFO ] [2022-10-02 22:53:00,473] Input valid value into password textbox with: exkyszfin2
